0,1,2,3,4,5,6,7,8,9,10
margarine,rolls/buns,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
whole milk,cake bar,,,,,,,,,
bottled water,pastry,,,,,,,,,
bottled beer,cream cheese ,chocolate,,,,,,,,
pastry,brown bread,,,,,,,,,
citrus fruit,fruit/vegetable juice,pickled vegetables,,,,,,,,
bottled water,processed cheese,,,,,,,,,
tropical fruit,other vegetables,sugar,,,,,,,,
herbs,whole milk,frozen dessert,,,,,,,,
root vegetables,UHT-milk,,,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
napkins,whole milk,butter milk,,,,,,,,
beef,other vegetables,,,,,,,,,
chicken,yogurt,,,,,,,,,
sausage,other vegetables,,,,,,,,,
whipped/sour cream,coffee,shopping bags,,,,,,,,
other vegetables,white bread,detergent,,,,,,,,
beverages,fruit/vegetable juice,,,,,,,,,
root vegetables,soft cheese,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
frozen potato products,bottled beer,,,,,,,,,
root vegetables,pastry,specialty chocolate,,,,,,,,
other vegetables,canned beer,shopping bags,,,,,,,,
beverages,coffee,,,,,,,,,
photo/film,bottled beer,,,,,,,,,
coffee,fruit/vegetable juice,,,,,,,,,
soda,other vegetables,,,,,,,,,
whole milk,sugar,,,,,,,,,
softener,chocolate,,,,,,,,,
sausage,UHT-milk,,,,,,,,,
sausage,rolls/buns,pickled vegetables,,,,,,,,
long life bakery product,butter,,,,,,,,,
newspapers,salty snack,,,,,,,,,
sausage,yogurt,,,,,,,,,
frankfurter,margarine,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
beverages,specialty fat,,,,,,,,,
bottled beer,white bread,,,,,,,,,
pastry,sliced cheese,fruit/vegetable juice,,,,,,,,
chicken,pastry,whole milk,pip fruit,soda,margarine,candy,,,,
sausage,bottled beer,dessert,butter,cream cheese ,other vegetables,canned beer,brown bread,,,
pip fruit,specialty bar,,,,,,,,,
rolls/buns,rum,,,,,,,,,
sausage,curd,,,,,,,,,
sausage,sparkling wine,,,,,,,,,
tropical fruit,white bread,,,,,,,,,
sausage,sausage,domestic eggs,dish cleaner,rolls/buns,other vegetables,soda,,,,
tropical fruit,chicken,onions,packaged fruit/vegetables,,,,,,,
pork,flour,,,,,,,,,
whole milk,citrus fruit,pip fruit,butter,grapes,ice cream,margarine,whipped/sour cream,,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
rolls/buns,candy,onions,,,,,,,,
cat food,shopping bags,,,,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
sausage,root vegetables,,,,,,,,,
domestic eggs,chocolate,,,,,,,,,
frozen vegetables,bottled water,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
ice cream,UHT-milk,,,,,,,,,
canned beer,other vegetables,margarine,,,,,,,,
whole milk,root vegetables,newspapers,,,,,,,,
pip fruit,soda,,,,,,,,,
white wine,misc. beverages,chewing gum,,,,,,,,
cream cheese ,sausage,whole milk,pip fruit,,,,,,,
newspapers,cream,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
grapes,bottled beer,,,,,,,,,
brown bread,rolls/buns,cat food,pastry,,,,,,,
other vegetables,abrasive cleaner,,,,,,,,,
pork,citrus fruit,,,,,,,,,
shopping bags,yogurt,,,,,,,,,
yogurt,sugar,margarine,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
root vegetables,bottled beer,fruit/vegetable juice,,,,,,,,
other vegetables,whole milk,Instant food products,,,,,,,,
liver loaf,rolls/buns,,,,,,,,,
soda,citrus fruit,rolls/buns,,,,,,,,
dessert,brown bread,,,,,,,,,
soda,pork,,,,,,,,,
curd,dessert,,,,,,,,,
pastry,domestic eggs,napkins,,,,,,,,
pork,rolls/buns,other vegetables,,,,,,,,
finished products,whole milk,,,,,,,,,
canned beer,coffee,,,,,,,,,
citrus fruit,bottled water,napkins,,,,,,,,
curd,zwieback,,,,,,,,,
UHT-milk,other vegetables,other vegetables,bottled water,,,,,,,
sausage,whole milk,rolls/buns,,,,,,,,
chicken,baking powder,,,,,,,,,
other vegetables,spread cheese,,,,,,,,,
hamburger meat,bottled beer,brown bread,yogurt,,,,,,,
other vegetables,frozen meals,rolls/buns,canned beer,white bread,,,,,,
pip fruit,citrus fruit,other vegetables,white wine,frozen vegetables,,,,,,
bottled water,whole milk,whole milk,frozen vegetables,,,,,,,
beef,butter milk,yogurt,soda,,,,,,,
citrus fruit,misc. beverages,,,,,,,,,
ice cream,grapes,,,,,,,,,
cooking chocolate,red/blush wine,cleaner,,,,,,,,
rolls/buns,dessert,frozen meals,grapes,other vegetables,napkins,other vegetables,,,,
rolls/buns,domestic eggs,,,,,,,,,
other vegetables,soda,,,,,,,,,
root vegetables,sliced cheese,,,,,,,,,
sausage,cake bar,,,,,,,,,
beverages,whole milk,onions,,,,,,,,
tropical fruit,waffles,,,,,,,,,
whole milk,flour,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
pip fruit,curd,specialty bar,beverages,sausage,soft cheese,rolls/buns,yogurt,other vegetables,curd,newspapers
pip fruit,newspapers,,,,,,,,,
canned beer,yogurt,,,,,,,,,
meat,house keeping products,,,,,,,,,
meat,other vegetables,,,,,,,,,
beef,other vegetables,,,,,,,,,
dessert,rolls/buns,,,,,,,,,
seasonal products,other vegetables,,,,,,,,,
